url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/hack-my-life\/season-3\/episode-7\/jump-the-line,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hot-ones-the-game-show\/season-1\/episode-7\/no-holds-barred,WatchAction,en,US,2020-04-08T06:00:00+00:00,2021-01-06T09:59:59+00:00,TBS,TVE
\/shows\/greatest-ever\/season-1\/episode-14\/greatest-life-ever,WatchAction,en,US,2020-03-09T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/the-carbonaro-effect-inside-carbonaro\/season-1\/episode-30\/skull-with-a-flower-hat,WatchAction,en,US,2020-03-15T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-20\/hump-day,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-3\/episode-11\/big-ol-scams-explicit,WatchAction,en,US,2019-05-14T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers-after-party\/season-2\/episode-7\/pantsing-with-the-stars,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/billy-on-the-street\/season-4\/episode-8\/christmas-on-the-street-with-will-ferrell,WatchAction,en,US,2018-10-01T11:00:00+00:00,2020-10-26T11:00:00+00:00,TBS,TVE
\/shows\/the-carbonaro-effect-inside-carbonaro\/season-1\/episode-3\/dont-freeze-me,WatchAction,en,US,2020-03-15T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/the-carbonaro-effect\/season-4\/episode-11\/vegan-plant,WatchAction,en,US,2020-02-08T10:00:00+00:00,2020-05-01T07:59:54+00:00,TBS,TVE
\/shows\/friends-of-the-people\/season-1\/episode-8\/never-come-back-time,WatchAction,en,US,2018-12-31T13:00:00+00:00,2020-05-01T11:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-5\/episode-23\/spider-man,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/billy-on-the-street\/season-2\/episode-10\/billy-in-the-air-with-pink,WatchAction,en,US,2018-10-01T11:00:00+00:00,2020-10-26T11:00:00+00:00,TBS,TVE
\/shows\/the-chris-gethard-show\/season-3\/episode-10\/take-a-chance,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/chris-webbers-full-court-pranks\/season-1\/episode-7\/shane-ray-vs-michael-the-fan,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-8\/episode-8\/cake-loss,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/im-sorry\/season-1\/episode-3\/ass-cubes,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-05-01T07:59:33+00:00,TBS,TVE
