bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,is_original
tbs,1.0.0,US,04/19/2020,0,TVE,The Detour,4,8,The Same,04/16/2020,04/23/2020,1256,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-8/the-same,2062570,2170485,1
tbs,1.0.0,US,04/19/2020,0,TVE,The Detour,4,9,The Bride,04/16/2020,04/23/2020,1266,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-9/the-bride,2062570,2170486,1
tbs,1.0.0,US,04/19/2020,0,TVE,The Detour,4,10,The Groom,04/16/2020,04/23/2020,1262,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-10/the-groom,2062570,2170487,1
tbs,1.0.0,US,04/19/2020,0,FREE,Miracle Workers: Dark Ages,2,1,Graduation,01/29/2020,05/01/2020,1291,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-1/graduation,100025,2197281,1
tbs,1.0.0,US,04/19/2020,0,TVE,Miracle Workers: Dark Ages,2,2,Help Wanted,02/05/2020,05/01/2020,1288,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-2/help-wanted,100025,2197282,1
tbs,1.0.0,US,04/19/2020,0,TVE,Miracle Workers: Dark Ages,2,3,Road Trip,02/12/2020,05/01/2020,1218,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-3/road-trip,100025,2197283,1
tbs,1.0.0,US,04/19/2020,0,TVE,Miracle Workers: Dark Ages,2,4,Internship,02/19/2020,05/01/2020,1194,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-4/internship,100025,2197284,1
tbs,1.0.0,US,04/19/2020,0,TVE,Miracle Workers: Dark Ages,2,5,Holiday,02/26/2020,05/01/2020,1242,TV-14,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-5/holiday,100025,2197285,1
tbs,1.0.0,US,04/19/2020,0,TVE,Miracle Workers: Dark Ages,2,6,Music Festival,03/04/2020,05/01/2020,1194,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-6/music-festival,100025,2197286,1
tbs,1.0.0,US,04/19/2020,0,TVE,Miracle Workers: Dark Ages,2,7,Day in Court,03/11/2020,05/01/2020,1163,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-7/day-in-court,100025,2197287,1
